,GISPROPNUM,BOROUGH,ACRES,SIGNNAME,TYPECATEGO,handball,tennis,basketball,adult_soft,track_and,play_area_count,preserve_count,spray_count,OBJECTID,TPL_P_NAME,FREQUENCY,SUM_SVCAREA,SUM_TOTPOPSVCA,SUM_KIDSVCA,SUM_YOUNGPROSVCA,SUM_SENIORSVCA,SUM_HHILOWSVCA,SUM_HHIMEDSVCA,SUM_HHIHIGHSVCA,SUM_TOTHHSVCA,SUM_WHITE_SVC,SUM_BLACK_SVC,SUM_AMERINDSVC,SUM_ASIAN_SVC,SUM_PACIFICSVC,SUM_OTHRACESVC,SUM_RACE2UPSVC,SUM_HISP_SVC
0,B001,B,0.896,American Playground,Playground,2.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,50,American Playground,23,8067515.59579,14334,1592,11158,1581,1744,1850,3037,6633,11724,180,38,1051,13,872,457,2148
1,B002,B,3.557,Amersfort Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,Amersfort Park,35,17343590.5349,28485,7440,17158,3888,2579,3195,3588,9364,6093,18045,116,2221,9,976,1032,2573
2,B003,B,1.711,Bartel-Pritchard Square,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,Bartel-Pritchard Square,29,10280860.1773,21253,4141,14682,2428,1651,1907,5744,9300,16639,777,53,1900,7,922,957,2927
3,B006,B,0.012,Beattie Square,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,Beattie Square,43,13976179.6994,30889,8114,19444,3328,5439,3048,2363,10855,8095,11846,345,1479,16,7625,1475,15498
4,B007,B,17.5,Bensonhurst Park,Recreation Field/Courts,6.0,8.0,4.0,3.0,0.0,7.0,0.0,1.0,128,Bensonhurst Park,29,11479877.9484,25077,5076,14962,5041,4228,2679,2463,9370,13871,340,65,8894,14,1413,480,2685
5,B008,B,10.555,Betsy Head Park,Community Park,12.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,132,Betsy Head Park,55,17539517.3906,42550,13567,24458,4526,8240,3853,2366,14456,2544,33905,299,628,19,3638,1519,9042
6,B010,B,47.57,Brooklyn Botanic Garden,Buildings/Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,Brooklyn Botanic Garden,54,16338511.6582,49419,10127,32798,6492,7190,5908,8468,21567,15738,27013,157,2386,25,1747,2346,5206
7,B012,B,7.047,Brower Park,Neighborhood Park,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,177,Brower Park,56,18347010.2408,45028,11354,27867,5812,7943,5263,4326,17532,7768,32530,161,1125,20,1655,1772,4552
8,B016,B,6.873,Maria Hernandez Park,Neighborhood Park,4.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,894,Maria Hernandez Park,46,17431799.1451,46450,12380,30876,3200,6901,4512,2921,14336,18298,3708,615,4206,50,16881,2694,32336
9,B017,B,2.783,Bushwick Playground 1,Jointly Operated Playground,4.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,194,Bushwick Playground 1,47,14375886.761,38801,10643,24610,3547,5667,3826,2520,12018,11484,7855,505,2649,27,13952,2332,26896
10,B018,B,132.2,Canarsie Park,Community Park,0.0,0.0,2.0,13.0,0.0,4.0,2.0,1.0,202,Canarsie Park,26,20095788.1255,29193,7250,18273,3669,3095,2981,3903,9974,3198,22673,98,1475,2,905,841,2733
11,B019,B,1.874,Carroll Park,Neighborhood Park,0.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,212,Carroll Park,42,13506101.2536,26177,4848,18210,3115,1973,2492,7590,12054,21238,1136,51,1769,10,865,1104,3279
12,B021,B,10.391,Commodore Barry Park,Community Park,8.0,0.0,2.0,3.0,0.0,6.0,0.0,1.0,284,Commodore Barry Park,28,9706265.13405,23822,5605,15042,3175,4880,1959,2510,9352,6081,10339,157,3366,15,2603,1261,6166
13,B022,B,1.101,Middleton Playground,Playground,4.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,933,Middleton Playground,36,11637013.739,41527,21575,17651,2300,5691,2347,1655,9691,34763,2942,117,642,29,2361,673,5412
14,B023,B,0.517,Lafayette Playground,Playground,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,795,Lafayette Playground,46,12658553.988,28260,7249,17887,3128,4752,3027,2473,10252,5429,14911,275,1125,22,5181,1317,10858
15,B025,B,6.401,Cooper Park,Neighborhood Park,4.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,297,Cooper Park,20,9568653.79032,15663,1943,11795,1926,2328,1717,2960,7006,10650,1392,66,1436,10,1453,661,4177
16,B026,B,1.158,Cuyler Gore Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,323,Cuyler Gore Park,52,15205773.4789,29561,4403,21888,3269,3447,3160,7485,14095,14673,9191,89,2556,9,1206,1831,3628
17,B028,B,216.655,Dyker Beach Park,Community Park,16.0,9.0,7.0,12.0,0.0,10.0,0.0,1.0,383,Dyker Beach Park,47,25947485.8172,31697,6692,19170,5837,3372,3433,5331,12129,21190,314,43,8305,11,1192,639,3061
18,B032,B,30.168,Fort Greene Park,Community Park,0.0,6.0,1.0,0.0,0.0,4.0,0.0,2.0,470,Fort Greene Park,54,19769873.7941,42111,7944,28993,5174,6469,4365,7774,18611,16256,15482,198,4519,10,3053,2590,7622
19,B035,B,5.317,John Paul Jones Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754,John Paul Jones Park,14,6769805.27282,10333,1877,6740,1715,1404,1590,2262,5257,7831,309,32,1407,9,426,320,1307
20,B036,B,0.214,Fort Stirling Park,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474,Fort Stirling Park,20,4630564.09772,16275,2670,10683,2923,1068,1481,5387,7937,12942,859,44,1634,1,265,534,1061
21,B038,B,1.987,Fulton Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503,Fulton Park,45,15979041.1813,31220,8165,19358,3703,5501,3830,3002,12333,2027,25597,141,879,2,1494,1079,3764
22,B040,B,14.257,Grand Army Plaza,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549,Grand Army Plaza,53,16515548.6146,38892,6829,27464,4592,3185,3864,11262,18308,25138,7366,100,3017,19,1164,2088,3770
23,B042,B,6.379,Gravesend Park,Neighborhood Park,4.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,561,Gravesend Park,37,17386606.6754,29767,11644,14627,3501,2934,2542,2830,8308,23922,174,27,4523,11,758,349,1652
24,B043,B,0.504,Greenpoint Playground,Playground,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,569,Greenpoint Playground,12,6232236.10812,10116,1203,7794,1119,1480,1270,1897,4650,7321,257,45,926,11,1139,415,2515
25,B044,B,1.361,Dr. Ronald McNair Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370,Dr. Ronald McNair Park,36,9723551.18177,30026,5854,20565,3605,4682,3229,4922,12830,8378,17265,90,1676,22,1156,1444,3352
26,B047,B,45.059,Highland Flagship Park,Flagship Park,10.0,18.0,4.0,1.0,0.0,6.0,0.0,2.0,636,Highland Flagship Park,32,19214743.3758,28605,8391,17489,2725,3270,2708,2323,8304,6977,7599,375,1764,32,9885,1965,18815
27,B047A,B,0.41,Highland Park Childrens Garden,Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637,Highland Park Childrens Garden,21,9935043.28773,18864,5541,11513,1807,2155,1776,1561,5493,4410,5263,240,1089,22,6571,1271,12345
28,B049,B,2.76,Irving Square Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,715,Irving Square Park,44,15767584.1578,38975,10906,24398,3673,5532,3893,2760,12186,9577,12266,502,1228,60,13114,2227,25135
29,B050,B,5.739,Van Voorhees Park,Neighborhood Park,9.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,1704,Van Voorhees Park,37,10250754.992,25320,4359,17624,3335,1445,2111,8550,12109,20007,1014,33,2433,10,722,1097,2480
30,B051,B,3.449,Kelly Neighborhood Park,Neighborhood Park,4.0,7.0,1.0,2.0,0.0,4.0,0.0,1.0,773,Kelly Neighborhood Park,36,15016411.3161,27936,6899,16152,4886,4070,3052,3324,10449,21191,346,33,4930,3,839,590,1959
31,B052,B,16.8,Leif Ericson Park,Neighborhood Park,0.0,10.0,8.0,1.0,0.0,7.0,0.0,1.0,810,Leif Ericson Park,73,27387912.5799,66355,16319,41945,8090,8006,6660,6516,21181,26250,1021,283,30757,13,6063,1965,13340
32,B054,B,17.14,Lincoln Terrace / Arthur S. Somers Park,Community Park,14.0,11.0,4.0,1.0,0.0,8.0,0.0,1.0,821,Lincoln Terrace / Arthur S. Somers Park,66,21951655.6096,60245,17030,36321,6895,11096,6760,4295,22154,5460,49066,289,474,29,2929,1999,7456
33,B055,B,4.044,Sternberg Park,Playground,2.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1598,Sternberg Park,49,16882824.2237,53900,16375,32020,5507,9339,4866,4027,18235,32629,4572,381,5077,41,9164,2045,20581
34,B056,B,2.29,Martin Luther King Jr. Playground,Playground,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,903,Martin Luther King Jr. Playground,47,16979996.6415,35994,11024,21155,3821,5939,3361,2479,11779,3192,26249,270,319,39,4454,1470,10474
35,B057,B,798.0,Marine Park,Community Park,26.0,15.0,19.0,18.0,0.0,11.0,1.0,3.0,896,Marine Park,51,36568981.5745,38007,8501,21765,7744,4116,3594,6793,14503,28440,2794,58,5010,15,882,809,3460
36,B058,B,35.713,McCarren Park,Community Park,12.0,8.0,4.0,4.0,0.0,7.0,0.0,2.0,914,McCarren Park,50,21653352.6838,42017,4590,32871,4559,5268,5731,9240,20238,34676,564,112,3412,20,1926,1320,4974
37,B060,B,5.655,McKinley Park,Neighborhood Park,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,919,McKinley Park,43,16263286.2365,28955,6534,18028,4393,3253,2956,4175,10383,17261,301,78,9238,8,1315,753,3391
38,B061,B,1.976,McLaughlin Park,Recreation Field/Courts,2.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,921,McLaughlin Park,37,9407754.20104,24285,4481,16222,3585,3541,2096,4946,10585,10894,6659,120,3888,15,1587,1116,4311
39,B063,B,0.476,Milestone Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937,Milestone Park,44,16116897.761,33833,7526,21187,5118,4460,3708,3298,11471,16559,253,110,14090,37,2061,721,4364
40,B066,B,24.218,Owl's Head Park,Neighborhood Park,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,1081,Owl's Head Park,24,8892732.62426,18552,3986,11595,2972,2276,2140,3382,7796,12290,418,54,3828,2,1248,714,3262
41,B068,B,39.5,Parade Ground,Recreation Field/Courts,0.0,11.0,2.0,2.0,0.0,4.0,0.0,0.0,1274,Parade Ground,52,18020397.7103,51200,12444,32447,6308,7143,5759,6023,18922,15727,22538,323,4811,19,5473,2309,11907
42,B073,B,526.25,Prospect Park,Flagship Park,0.0,0.0,0.0,3.0,0.0,14.0,7.0,2.0,1370,Prospect Park,134,44447575.0535,120914,25996,79803,15117,13654,13189,23928,50771,56006,44411,468,7829,45,6611,5552,17335
43,B077,B,8.271,Coffey Park,Neighborhood Park,4.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,268,Coffey Park,14,8980871.37031,11771,2940,7551,1282,2608,1070,1297,4976,4734,4061,133,414,9,1880,543,4819
44,B078,B,2.744,Grace Playground,Jointly Operated Playground,4.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,547,Grace Playground,38,14013823.5689,25483,8297,14613,2570,4327,2072,1517,7914,3272,15875,226,443,37,4476,1150,9836
45,B079,B,3.214,Saratoga Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1492,Saratoga Park,53,16478317.3272,37304,10262,22983,4058,5862,4244,3561,13665,3794,26729,298,742,34,4008,1699,9306
46,B080,B,21.039,Asser Levy Park,Community Park,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,72,Asser Levy Park,26,11676123.9943,30580,4035,16353,10191,7009,3621,4040,14670,26080,648,97,1702,1,1542,513,3073
47,B082,B,58.0,Shore Park and Parkway,Community Park,3.0,4.0,3.0,5.0,0.0,5.0,0.0,2.0,1526,Shore Park and Parkway,71,34236039.1723,64559,13619,40360,10578,8227,8161,10765,27152,41901,1210,261,13352,19,5570,2237,13349
48,B085,B,0.181,Metropolitan Recreation Center,Buildings/Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931,Metropolitan Recreation Center,26,11221774.5764,28730,4171,21867,2695,4197,3534,5250,12982,19543,1013,170,2651,13,4040,1298,8766
49,B087,B,24.498,Sunset Park,Community Park,2.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,1616,Sunset Park,54,20700282.2928,60926,17197,38130,5597,7497,5332,4356,17184,18895,1890,825,22305,32,14148,2831,28506
50,B088,B,7.819,Herbert Von King Park,Community Park,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,628,Herbert Von King Park,57,19267224.3021,48841,12374,31271,5192,8575,5764,4891,19238,7678,32292,295,1352,58,5012,2161,11259
51,B090,B,0.135,Sobel Playground,Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1540,Sobel Playground,47,11776892.2496,45368,17321,24221,3820,7149,3279,3538,13965,35741,2046,263,892,17,5211,1193,11367
52,B092,B,2.589,Kathy Reilly Triangle,Recreation Field/Courts,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,772,Kathy Reilly Triangle,45,16953367.6189,28991,6445,17989,4553,3208,3159,4435,10799,19055,307,75,7451,7,1300,797,3399
53,B093,B,0.295,Weeksville Playground,Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1746,Weeksville Playground,33,11859725.991,24196,7177,14442,2576,4397,2777,1905,9084,1224,20416,121,301,10,1312,810,3614
54,B095,B,0.554,Ennis Playground,Playground,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,423,Ennis Playground,24,7923080.8957,10878,1730,8130,1019,1036,1266,2237,4539,7242,752,66,952,10,1307,548,3081
55,B096,B,0.76,Sgt. William Dougherty Playground,Undeveloped,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1516,Sgt. William Dougherty Playground,16,5629528.53944,9200,1233,6921,1044,1170,1148,1746,4064,7563,394,26,379,2,505,328,1460
56,B097,B,0.328,Sledge Playground,Playground,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1536,Sledge Playground,22,12034122.6907,16053,3923,10005,2127,1342,1734,2243,5316,1932,11863,38,1317,3,391,510,1261
57,B098,B,0.913,Martin Luther Playground,Playground,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,904,Martin Luther Playground,25,7279836.02731,19744,5176,12423,2139,2427,1993,1381,5801,6914,777,311,4108,3,6668,962,13153
58,B099,B,0.871,Lt. Joseph Petrosino Park,Playground,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,853,Lt. Joseph Petrosino Park,43,16625703.5686,32630,7110,20838,4682,3901,3839,3241,10982,13720,269,100,15490,44,2347,660,4544
59,B100,B,4.945,Seth Low Playground/ Bealin Square,Neighborhood Park,4.0,0.0,4.0,1.0,0.0,4.0,0.0,1.0,1509,Seth Low Playground/ Bealin Square,53,20990752.8707,47232,10074,29240,7915,6269,5095,5378,16740,25700,376,92,17499,35,2559,969,5410
60,B102,B,0.934,Crispus Attucks Playground,Playground,2.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,312,Crispus Attucks Playground,40,14692503.3959,26912,4756,19704,2447,3655,3015,5157,11830,8422,13848,117,2097,17,1009,1403,2930
61,B103,B,4.947,Cypress Hills Playground,Neighborhood Park,4.0,0.0,3.0,2.0,0.0,4.0,0.0,1.0,325,Cypress Hills Playground,35,18693985.1681,37628,11463,22061,4103,6357,3640,2304,12297,3841,23536,333,2752,21,5421,1723,11907
62,B105,B,1.821,Taaffe Playground,Neighborhood Park,4.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,1623,Taaffe Playground,37,13088199.2094,31745,12297,17180,2268,4009,2462,3090,9560,19398,6694,143,1538,40,2768,1163,5751
63,B106A,B,3.214,Scarangella Park,Neighborhood Park,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1497,Scarangella Park,34,17893063.3025,31076,7293,18946,4841,4413,3300,2883,10599,11742,2215,110,14068,9,2224,716,4683
64,B106B,B,1.187,Lafayette Playground (Benson),Jointly Operated Playground,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,796,Lafayette Playground (Benson),32,16181140.4592,28406,6667,17214,4525,4003,3049,2668,9720,10762,2018,103,12911,10,1950,653,4137
65,B107,B,0.865,Lion's Pride Playground,Playground,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,826,Lion's Pride Playground,31,11890414.8461,24688,7663,13843,3179,5284,1811,1450,8544,2112,18490,231,232,7,2483,1130,7001
66,B109,B,3.214,Bill Brown Playground,Neighborhood Park,6.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,137,Bill Brown Playground,33,15940960.0711,26571,4926,16313,5335,3793,3117,3771,10681,17095,1177,35,7155,0,555,556,1635
67,B110,B,1.32,Marion Hopkinson Playground,Neighborhood Park,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,899,Marion Hopkinson Playground,45,14681352.2792,32372,9143,19912,3319,5186,3574,2822,11584,3015,23887,248,450,27,3305,1445,7726
68,B111,B,3.03,J.J. Byrne Playground,Neighborhood Park,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,721,J.J. Byrne Playground,48,15329570.0618,28271,5276,20103,2893,1993,2566,8053,12609,21046,1959,73,2286,3,1386,1520,4376
69,B111A,B,1.549,Washington Park,Jointly Operated Playground,8.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1739,Washington Park,42,13315214.5119,23827,4459,16987,2378,1701,2194,6661,10552,17623,1633,66,1926,2,1275,1301,3868
70,B113A,B,10.384,Cadman Plaza Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,Cadman Plaza Park,34,11797817.4392,32106,5147,22581,4375,2684,2592,9531,14805,22078,3428,92,4334,16,912,1254,3192
71,B113B,B,1.195,Korean War Veterans Plaza,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785,Korean War Veterans Plaza,32,9599191.438,25971,3692,18448,3831,1753,2292,8388,12434,19350,1797,61,3213,4,568,983,2142
72,B113C,B,4.14,Columbus Park (Adams),Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,Columbus Park (Adams),44,13704554.4448,33388,4900,23921,4567,2231,2989,10933,16157,24746,2350,77,3994,9,876,1340,3099
73,B113E,B,2.913,Walt Whitman Park,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730,Walt Whitman Park,27,7267847.46792,20543,3003,14602,2937,1521,1732,6327,9579,14535,1851,58,2864,8,465,761,1828
74,B114,B,9.134,Msgr. McGolrick Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,969,Msgr. McGolrick Park,34,13292443.9434,24533,2955,18642,2934,3126,2998,5086,11211,20786,694,53,1262,8,988,745,2835
75,B115,B,0.07,Cohn Triangle,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269,Cohn Triangle,36,8771054.96931,32658,12851,17160,2647,4937,2330,2735,10001,26271,1715,156,694,10,3030,784,7076
76,B118A,B,0.345,St. Mary's Field,Recreation Field/Courts,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1576,St. Mary's Field,29,7540198.23113,13114,2358,9108,1649,1220,1332,3602,6153,10311,795,48,836,5,596,525,1827
77,B118B,B,0.367,St. Mary's Playground,Playground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578,St. Mary's Playground,25,6446444.27172,10826,2000,7533,1293,1174,1135,2713,5023,7853,1078,57,667,3,719,445,1993
78,B121,B,0.293,Dodger Playground,Playground,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,357,Dodger Playground,40,11831952.0717,32449,8291,19645,4514,5243,3661,3306,12207,6323,22999,125,548,10,1312,1130,3770
79,B123,B,0.005,Alben Triangle,Triangle/Plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,Alben Triangle,49,14725939.3737,42480,16229,22135,4115,5173,3456,2786,11415,27380,705,189,9547,15,3625,1016,7359
80,B124,B,1.17,William Sheridan Playground,Jointly Operated Playground,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1770,William Sheridan Playground,25,9695596.32601,25230,4281,18673,2281,3528,2923,4490,10938,17144,974,134,2273,10,3569,1131,7696
81,B125,B,85.527,Calvert Vaux Park,Recreation Field/Courts,2.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,198,Calvert Vaux Park,17,9723352.59098,11628,2403,6893,2331,1691,1304,1384,4381,6053,348,35,4278,7,642,261,1441
82,B126,B,58.503,Red Hook Recreation Area,Community Park,8.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,1429,Red Hook Recreation Area,20,8609961.95813,13141,3087,8563,1491,2673,1273,1718,5662,6100,3981,133,522,6,1797,600,4736
83,B127,B,1.373,Martinez Playground,Recreation Field/Courts,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,905,Martinez Playground,42,11740075.2021,34420,6215,23527,4675,6701,3659,3635,13997,16877,3787,271,4951,30,6831,1672,16082
84,B128,B,1.974,Colonel David Marcus Playground,Playground,5.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,280,Colonel David Marcus Playground,41,15389534.8466,24952,7151,14039,3760,3249,2524,2759,8534,19454,262,67,3315,4,1408,436,2722
85,B129,B,26.257,Kaiser Park,Community Park,14.0,12.0,4.0,1.0,0.0,4.0,0.0,1.0,770,Kaiser Park,25,11092469.3465,24362,6412,12840,5107,5455,2093,1254,8804,8329,9887,153,2811,8,2198,975,6353
86,B130,B,3.39,Greenwood Playground,Neighborhood Park,4.0,0.0,2.0,1.0,0.0,7.0,0.0,1.0,570,Greenwood Playground,27,11937331.5186,19553,4294,12654,2601,2194,2053,3860,8105,12149,1474,86,3799,3,1191,857,2985
87,B131,B,1.278,Rudd Playground,Playground,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1477,Rudd Playground,26,8849209.94682,13580,3835,8380,1364,2188,1345,1125,4660,1761,8543,138,262,4,2188,682,4707
88,B132,B,1.034,Gilbert Ramirez Park,Neighborhood Park,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,531,Gilbert Ramirez Park,24,10215606.9927,16945,3747,11549,1648,2858,1645,1360,5867,7724,3110,199,824,17,4262,807,9764
89,B135,B,0.983,Newtown Barge Playground,Recreation Field/Courts,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,991,Newtown Barge Playground,11,5336361.5207,8531,1024,6578,931,1282,1056,1562,3901,6098,241,38,788,8,1004,356,2200
90,B137,B,0.567,Sixteen Sycamores Playground,Playground,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1533,Sixteen Sycamores Playground,37,12185605.1175,21915,3630,15994,2293,2410,2086,5346,9843,12239,4553,92,2322,8,1407,1303,3967
91,B139,B,1.24,Heckscher Playground,Playground,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,618,Heckscher Playground,48,12825923.6853,34210,9528,21241,3445,5666,3257,2177,11103,9707,8454,439,1543,21,11937,2104,23520
92,B140,B,1.67,Banneker Playground,Jointly Operated Playground,4.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,87,Banneker Playground,45,14236329.9476,34923,8738,22629,3556,6105,4103,3548,13756,6682,21321,240,1156,49,3859,1614,8545
93,B141,B,3.552,City Line Park,Jointly Operated Playground,2.0,0.0,6.0,2.0,0.0,4.0,0.0,0.0,248,City Line Park,46,20274963.2216,40630,12143,24819,3669,5043,3806,2931,11776,7780,11823,528,7043,52,10746,2656,20199
94,B142,B,0.881,Bedford Playground,Playground,2.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,115,Bedford Playground,38,10183614.4199,36344,13100,20206,3035,5576,2748,3392,11711,27913,1964,205,1021,13,4186,1041,9475
95,B144,B,1.595,Ocean Hill Playground,Jointly Operated Playground,3.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,1065,Ocean Hill Playground,35,13869006.9451,27187,8184,16254,2747,4983,2694,2007,9688,1883,21687,220,291,11,2113,981,5604
96,B145,B,2.525,Thomas Greene Playground,Community Park,8.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1649,Thomas Greene Playground,43,14408564.3426,26638,4996,18598,3045,3343,2535,5741,11614,16395,4532,107,2092,11,2063,1440,6512
97,B146,B,1.65,Quaker Parrot Park at the Dust Bowl,Recreation Field/Courts,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1403,Quaker Parrot Park at the Dust Bowl,33,11120574.0824,26765,6639,17030,3099,3206,2406,2318,7933,7415,257,73,17051,3,1363,599,3120
98,B147,B,2.291,Monsignor Crawford Field,Recreation Field/Courts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948,Monsignor Crawford Field,20,12217416.7585,9591,2170,5668,1754,786,958,1772,3515,5272,2999,27,713,3,336,241,971
99,B148,B,0.213,Rolf Henry Playground,Playground,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1473,Rolf Henry Playground,35,13034505.0311,26540,6474,16292,3772,3986,3087,2556,9630,1665,21883,75,996,8,930,989,2495
100,B149A,B,0.622,Elton Playground,Playground,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,420,Elton Playground,24,11331873.1344,19761,5539,11782,2445,2996,2002,1471,6471,1599,14967,131,216,22,2077,747,4993
101,B149B,B,0.705,Linwood Playground,Playground,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,825,Linwood Playground,27,11451559.817,20043,5675,11915,2452,3044,1969,1486,6503,1657,14975,135,246,23,2232,771,5254
102,B150,B,1.581,Kolbert Playground,Playground,4.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,783,Kolbert Playground,40,15466773.0352,27059,7251,14937,4874,3580,2701,3400,9683,21042,942,36,3770,3,831,438,1756
103,B151,B,1.385,Dome Playground,Neighborhood Park,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,358,Dome Playground,43,14748958.2723,35858,13266,19362,3224,4085,2803,2809,9697,22590,1010,144,7940,12,2846,1310,5826
104,B152,B,1.148,Rappaport Playground,Neighborhood Park,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1423,Rappaport Playground,49,14826052.1883,44365,15024,24645,4690,5186,3435,3050,11674,21084,517,141,19916,8,2010,687,4350
105,B153,B,2.264,South Pacific Playground,Neighborhood Park,2.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1548,South Pacific Playground,41,14891048.7483,29847,8902,17751,3191,5874,3370,2093,11339,1412,25222,164,315,15,1739,979,4527
106,B154,B,0.327,Berry Playground,Playground,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,130,Berry Playground,31,10001977.3624,29345,6910,19867,2568,4428,2910,4126,11466,20186,1343,181,1934,13,4512,1185,9671
107,B156,B,1.024,Powell Playground,Playground,4.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,1361,Powell Playground,28,9050158.29601,19009,6447,10442,2120,4513,1257,597,6370,1946,13250,179,169,4,2520,940,6247
